Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,24,OKC,3,0,22.7,1.7,4.3,.385,0.7,3.0,.222,1.0,1.3,.750,.462,0.7,0.7,1.000,0.7,1.7,2.3,0.3,1.0,0.0,0.7,2.7,4.7
2,Quincy Acy\acyqu01,PF,27,BRK,3,0,14.7,1.7,3.3,.500,1.7,3.0,.556,0.0,0.3,.000,.750,0.0,0.0,,0.0,2.7,2.7,0.3,0.3,0.0,2.3,3.0,5.0
3,Steven Adams\adamsst01,C,24,OKC,3,3,32.3,5.3,7.7,.696,0.0,0.0,,5.3,7.7,.696,.696,2.0,3.3,.600,4.3,3.3,7.7,1.3,2.0,1.7,1.3,1.7,12.7
4,Bam Adebayo\adebaba01,C,20,MIA,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
5,Arron Afflalo\afflaar01,SG,32,ORL,2,0,10.0,0.0,1.5,.000,0.0,1.0,.000,0.0,0.5,.000,.000,2.0,2.5,.800,0.0,1.0,1.0,1.5,0.0,0.5,0.0,1.0,2.0
6,LaMarcus Aldridge\aldrila01,PF,32,SAS,3,3,36.0,9.3,20.3,.459,0.3,1.7,.200,9.0,18.7,.482,.467,5.3,6.0,.889,4.3,5.0,9.3,3.3,0.7,1.7,2.0,2.3,24.3
7,Jarrett Allen\allenja01,F-C,19,BRK,2,0,14.5,2.0,4.0,.500,0.0,0.5,.000,2.0,3.5,.571,.500,2.5,4.0,.625,1.5,1.5,3.0,0.0,0.5,2.5,0.0,2.5,6.5
8,Tony Allen\allento01,SG,36,NOP,3,0,8.7,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.7,0.7,1.3,0.3,0.7,0.7,0.7,1.7,2.0
9,Al-Farouq Aminu\aminual01,PF,27,POR,3,3,29.3,3.3,8.0,.417,1.3,3.0,.444,2.0,5.0,.400,.500,0.7,0.7,1.000,2.7,8.7,11.3,2.0,0.3,1.0,0.3,1.3,8.7
10,Justin Anderson\anderju01,SF,24,PHI,2,0,10.0,2.0,6.0,.333,1.0,3.5,.286,1.0,2.5,.400,.417,1.0,2.0,.500,0.5,0.0,0.5,0.0,0.0,0.5,0.5,1.5,6.0
11,Kyle Anderson\anderky01,SF,24,SAS,3,3,30.0,3.7,8.3,.440,0.3,0.7,.500,3.3,7.7,.435,.460,1.0,2.0,.500,1.3,5.7,7.0,1.0,0.0,1.0,1.3,1.7,8.7
12,Ryan Anderson\anderry01,PF,29,HOU,4,4,28.3,2.5,7.5,.333,1.8,5.8,.304,0.8,1.8,.429,.450,1.0,1.0,1.000,2.0,5.3,7.3,1.0,0.3,0.3,0.0,2.0,7.8
13,Ike Anigbogu\anigbik01,F-C,19,IND,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Giannis Antetokounmpo\antetgi01,PF,23,MIL,4,4,38.5,14.5,22.0,.659,0.3,1.5,.167,14.3,20.5,.695,.665,7.5,10.0,.750,1.8,9.0,10.8,5.3,2.3,1.0,3.8,3.5,36.8
15,Carmelo Anthony\anthoca01,SF,33,OKC,3,3,35.7,9.7,21.7,.446,2.3,8.3,.280,7.3,13.3,.550,.500,2.0,2.7,.750,0.0,2.0,2.0,1.7,2.0,1.0,1.7,3.3,23.7
16,OG Anunoby\anunoog01,SF,20,TOR,3,0,15.7,2.0,4.7,.429,0.7,2.3,.286,1.3,2.3,.571,.500,0.7,0.7,1.000,0.7,1.7,2.3,1.7,0.3,0.0,0.0,2.7,5.3
